UPC,Mercado,Sub-Mercado,Atributo Categoria,Laboratorio,Laboratorio Completo,DESCRIPCION,SUN FILE,PAIS,MINERAL / NO MINERAL,TRACKER,TRACKER DESCRIPCION
6167120,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL DESPIG 10% SKIN LIGHTENING 4,,MEXICO,,,
6167121,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NEOSTRATA GEL OIL CONTROL FREE 30ML,,MEXICO,,,
6167200,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SUERO ILLUMINAT 30ML,,MEXICO,,,
6167201,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA FLUIDO FAC PIGMENT CONTROLLER 30,,MEXICO,,,
6167202,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL ULTRA BRIGHTENING CLEANSER 1,,MEXICO,,,
6167203,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA ENLIGHTEN GEL LIMPIADOR 100ML,,MEXICO,,,
6167204,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIV MATRIX SUPPORT F3,,MEXICO,,,
6167205,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CONT DE OJOS 4% 15GR,,MEXICO,,,
6167206,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SERUM SKIN ACTIVE A/OXIDANTE DE,,MEXICO,,,
6167207,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA BIONIC EYE PLUS 15GR,,MEXICO,,,
6167208,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SKIN ACTSUERO A/OXIDANTE 30ML,,MEXICO,,,
6167209,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA ULTRA DAYTIME SMOOTHING 10%,,MEXICO,,,
6167210,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA FORMULA REF 15% GEL 100ML,,MEXICO,,,
6167211,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA DAYTIME PROTECCION F15 40GR,,MEXICO,,,
6167212,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SOL ACIDO GLICOLICO 50% 59ML,,MEXICO,,,
6167213,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SOL REJ PEEL 3 ACIDO GLICOLICO 5,,MEXICO,,,
6167216,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA LOC REFINE SHEER HYDRATION F35 5,,MEXICO,,,
6167217,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SOL ACIDO GLICOLICO 20% 59ML,,MEXICO,,,
6167218,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SOL ACIDO GLICOLICO 35% 59ML,,MEXICO,,,
6167235,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CARA Y CUELLO 15% LOC 200ML,,MEXICO,,,
6167236,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA BIONIC EYE 15GR,,MEXICO,,,
6167240,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA PARA MANCHAS S/HID GEL 40GR,,MEXICO,,,
6167245,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA PARA MANCHAS 10% GEL 40GR,,MEXICO,,,
6167255,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA NUTRITIVA POST-PEEL 14GR,,MEXICO,,,
6167257,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA POST-PEEL 28GR,,MEXICO,,,
6167260,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NEOSTRATA REGEN SENSIT CRA 30GR,,MEXICO,,,
6167265,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SENS FACIAL 10% CRA 50GR,,MEXICO,,,
6167268,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SENS FACIAL 15% CRA 50GR,,MEXICO,,,
6167286,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL DESPIG ENLIGHTEN 20GR,,MEXICO,,,
6167287,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SUERO REAFIRMANTE SKIN ACTIVE 30,,MEXICO,,,
6167289,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NEOSTRATA CRA PROT SOLAR MINERAL F50 50ML,Sensitive Skin/ basic sun protection,MEXICO,,,
6167290,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SKIN ACTCRA DERMAL REPLENISHMENT 50GR,,MEXICO,,,
6167291,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SKIN ACTCRA REAF RETINOL NAG COMPLEX 30M,,MEXICO,,,
6167292,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NEOSTRATA RESTORE SERUM FAC A/ROJECES 29GR/30ML,,MEXICO,,,
6167293,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SKIN ACTKIT 2018 LINE LIFE SERUM REAF PA,,MEXICO,,,
6167294,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SKIN ACTSERUM TRIPLE EFECTO LIFTING 30ML,,MEXICO,,,
6167295,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NOESTRATA ENLIGHTECRA FAC ACLARADORA DIA F25 40GR,,MEXICO,,,
6167515,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL NEOCEUTICALS TRAT SPOT 15ML,,MEXICO,,,
6167520,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NEOSTRATA SOL NEOCEUTICALS CLEAR SKIN ACNE,,MEXICO,,,
6167604,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA RESURFACE ULTRA SVE 10% 40GR,,MEXICO,,,
6167605,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA RESURFACE ULTRA SVE 8% 50GR,,MEXICO,,,
6167610,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA LOC RESURFACE ULTRA SVE 10% 200M,,MEXICO,,,
6167902,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA CRA CONT/OJOS BRIGHTENING 15GR,,MEXICO,,,
6167904,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA SOL CLARIFYING 30% MANDELIC ACID,,MEXICO,,,
6167905,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA/SENSITI CRA CORR ARRUGAS LACTOBIONICA 50,,MEXICO,,,
6167906,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA SOL BRIGHTENING 30% MANDELIC ACI,,MEXICO,,,
6167909,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SUERO FAC LACTOBIONICO 30ML,,MEXICO,,,
6167911,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NEOSTRATA CRA PROT SOLAR DEFEND MINERAL F5,Sensitive Skin/ basic sun protection,MEXICO,,,
6167912,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NEOSTRATA CRA SKIN ACTIVE MATRIX SUPPORT 5,Sensitive Skin/ basic sun protection,MEXICO,,,
6167918,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NEOSTRATA SUERO FAC ANTI ROJECES 29GR,,MEXICO,,,
6167919,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NEOSTRATA CRA CONT OJOS 4% 15GR,,MEXICO,,,
6167921,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NEOSTRATA GEL ANTIBACTERIAL P/ACNE 200ML,,MEXICO,,,
6167922,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NEOSTRATA GEL SPOT PARA BROTES 15GR,,MEXICO,,,
6167923,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NEOSTRATA SOL PIEL GRASA 100ML,,MEXICO,,,
6167924,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIVE RESTAURACION CEL,,MEXICO,,,
6167926,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIVE CONT/OJOS 15GR,,MEXICO,,,
6167927,BODY,BODY TREATMENT,DRY SKIN TREATMENT,OTROS LAB,RESTO,NEOSTRATA CRA RESURFACE PDS DRY SKIN 100GR,,MEXICO,,,
6167928,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKINACTIVE FIRMING RETINOL+N,,MEXICO,,,
6167929,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL LIMP ENLIGHTEN 100ML,,MEXICO,,,
6167930,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA REGENERADORA PIEL 30GR,,MEXICO,,,
6167931,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIVE ACLARADORA 40ML,,MEXICO,,,
6167932,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA FLUIDO ENLIGHTEN PIGMENT CONTR 3,,MEXICO,,,
6167933,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA SUERO ENLIGHTEN ILLUMINATING 30M,,MEXICO,,,
6167934,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL ENLIGHTEN DESPIG 20GR,,MEXICO,,,
6167936,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIVE CUELLO 80GR,,MEXICO,,,
6167937,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIVE INTENSIVA 50GR,,MEXICO,,,
6167938,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SUERO SKIN ACTIVE TRI-THERAPY 30,,MEXICO,,,
6167939,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA SKIN ACTIVE ANTIOXIDANTE 30M,,MEXICO,,,
6167941,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SUERO SKIN ACTIVE REAFIRMANTE 30,,MEXICO,,,
6167947,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA CRA ENLIGHTEN F35 SKIN BRIGHTENE,,MEXICO,,,
6167950,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NEOSTRATA SOL FAC P/GRASA ACNE 118ML,,MEXICO,,,
6167951,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SERUM NIGHT COMPREHENSIVE RETINO,,MEXICO,,,
6167952,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA CON/OJOS COMPREHENSIVE RETIN,,MEXICO,,,
6167953,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA FAC PLUS 40GR,,MEXICO,,,
6167954,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NEOSTRATA GEL DESPIG ENLIGHTEN HQ 40GR,,MEXICO,,,
6167955,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NEOSTRATA LIMP OPTIMO PRE-PEELING 200ML,,MEXICO,,,
6167956,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,FEDELE,NESOTRATA LOC RESURFACE PLUS 200ML,,MEXICO,,,
6167957,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA REJUVENATING PEEL 4 AC GLIC,,MEXICO,,,
6167958,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA KIT CRA SKIN ACTIVE FIRMING 80GR,,MEXICO,,,
6167959,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA KIT CRA SKIN ACTIVE REPARADOR 50,,MEXICO,,,
6167960,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA CRA CONT/OJOS HYDRA 15GR,,MEXICO,,,
6167963,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA KIT SKIN ACTIVE 1,,MEXICO,,,
6167964,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA KIT SKIN ACTIVE 2,,MEXICO,,,
6167965,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,FEDELE,NEOSTRATA SERUM ENLIGHTENING VIT C 15% 15M,,MEXICO,,,
6167966,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NEOSTRATA KIT PROSYSTEM LIMP OPTIMO,,MEXICO,,,
6168000,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE GEL 150ML,,MEXICO,,,
6168001,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE GEL LIGHT EYES 15ML,,MEXICO,,,
6168002,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NEOTONE SOL AQUA MIC DESM 250ML,,MEXICO,,,
6168003,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,OTROS LAB,RESTO,NEOTONE SOL BODY ZONAS SENSIBLES 100ML,,MEXICO,,,
6168004,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NEOTONE SOL PREVENT F50 30ML,Sensitive Skin/ basic sun protection,MEXICO,,,
6168005,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE SUERO DESPIG A/MANCHAS 30ML,,MEXICO,,,
6168006,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE GEL DESPIG 40ML,,MEXICO,,,
6168007,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NEOTONE SOL MIC DESM AQUA 400ML,,MEXICO,,,
6168008,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,DERMABRANDS,NEOTONE SUERO SENSITIVE 30ML,,MEXICO,,,
6168010,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE 25 ML,,MEXICO,,,
6168011,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE RADIANCE CRA DESPIGMENTANTE F50 30ML,,MEXICO,,,
6168012,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE SOL AQUA MICELAR 100ML,,MEXICO,,,
6168020,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,DERMABRANDS,NEOTONE KIT 2018 SUERO 25ML+CRA RADIANCE,,MEXICO,,,
6222900,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,PEPTIX SER FAC 30ML,,MEXICO,,,
6223001,SUN,SUN BODY,SUN BODY,OTROS LAB,RESTO,PHOTOKER CRA CORP CONTROL UV 50ML,,MEXICO,,,
6223100,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,PARABOTICA,PARABOTICA CRA-GEL INTENSIVA HIDRAT 50ML,,MEXICO,,,
6223101,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,PARABOTICA,PARABOTICA CRA MULTI-ACTIVA REDENSIF 50ML,,MEXICO,,,
6223120,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,PARABOTICA,PARABOTICA SERUM INTENSIVO LUMINISO 30ML,,MEXICO,,,
6223130,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,PARABOTICA GEL HIDRAT A/IMPERF 50ML,,MEXICO,,,
6223131,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,PARABOTICA,PARABOTICA GEL-CRA COT/OJOS 15ML,,MEXICO,,,
6223140,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,PARABOTICA,PARABOTICA ESPUMA FACIAL LIMPIADORA 150ML,,MEXICO,,,
6223150,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,PARABOTICA,PARABOTICA AMPS PROTEGLICANOS PLUS C/30 PZS,,MEXICO,,,
6223160,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,PARABOTICA,PARABOTICA LOC DESMAQ DE OJOS Y LABIOS 100M,,MEXICO,,,
6223170,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,PARABOTICA,PARABOTICA LECHE DESMAQUILLANTE HIGIENE 200,,MEXICO,,,
6231105,SUN,SUN BODY,SUN BODY,OTROS LAB,RESTO,NEUTROGENA CRA BLOQ SUN FRESH F50 120ML,,MEXICO,,,
6231106,SUN,SUN BODY,SUN BODY,OTROS LAB,RESTO,NEUTROGENA CRA BLOQ SUN FRESH F50 200ML,,MEXICO,,,
6231107,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NEUTROGENA CRA BLOQ SUN FRESH F50 40GR,Sensitive Skin/ basic sun protection,MEXICO,,,
6305505,BODY,BODY TREATMENT,SENSITIVE SKIN TREATMENT,GALDERMA,GALDERMA,CREMA 1 60 G,,CAM,,,
6312220,FACE,ANTI-AGE,ANTI-AGE,MEGALABS,MEGALABS,CREMA 1 30 G,,CAM,,,
6315700,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,RESTO,NOREVA NOREGYN GEL LIMP CORP 200ML,,MEXICO,,,
6325800,BODY,BODY CLEANS,DRY SKIN CLEANS,OTROS LAB,NOREVA,NOREVA XERODIANE PCRA LIMP 500ML,,MEXICO,,,
6325801,BODY,BODY CLEANS,DRY SKIN CLEANS,OTROS LAB,NOREVA,NOREVA XERODIANE PGEL DE BANO 745ML,,MEXICO,,,
6325802,BODY,BODY CLEANS,DRY SKIN CLEANS,OTROS LAB,NOREVA,NOREVA XERODIANE PCRA LAVANTE 200ML,,MEXICO,,,
6325803,BODY,BODY TREATMENT,DRY SKIN TREATMENT,OTROS LAB,NOREVA,NOREVA XERODIANE PBALS NUTRITIVO 200ML,,MEXICO,,,
6325804,BODY,BODY CLEANS,DRY SKIN CLEANS,OTROS LAB,NOREVA,NOREVA XERODIANE PCRA LAVANTE FAC Y CORP 400ML,,MEXICO,,,
6325805,RESTORING,RESTORING,RESTORING,OTROS LAB,NOREVA,NOREVA CICADIANE CRA CALMANTE REPARADORA 40ML,,MEXICO,,,
6325806,RESTORING,RESTORING,RESTORING,OTROS LAB,NOREVA,NOREVA CICADIANE CRA PROT SOLAR CALMANTE FAC Y CO,,MEXICO,,,
6325807,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOREVA DENSIDIANE CRA REDENSIFICANTE 125ML,,MEXICO,,,
6325808,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,OTROS LAB,RESTO,NOREVA ECZEANE BALM RELIPIDIZANTE A/PICORES 100,,MEXICO,,,
6325809,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NOREVA EXFOLIAC GEL ESPUMOSO SUAVE 250ML,,MEXICO,,,
6325810,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOREVA NOVEANE CRA DE DIA 30ML,,MEXICO,,,
6325811,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC GEL TRAT A/IMPERF NC 30ML,,MEXICO,,,
6325812,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NOREVA EXFOLIAC AGUA MICELAR PURIFICANTE 250ML,,MEXICO,,,
6325813,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC ROLL ON FAC CUIDADO A/IMPERF 5ML,,MEXICO,,,
6325814,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,NOREVA,NOREVA IKLEN PLUS CRA CC FAC C/COLOR 40ML,,MEXICO,,,
6325815,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,NOREVA,NOREVA IKLEN PLUS SUERO FAC CORRECTOR INTENS 30ML,,MEXICO,,,
6325816,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,NOREVA,NOREVA IKLEN PLUS CRA PROT SOLAR F50 A/MANCHAS 30M,,MEXICO,,,
6325818,FACE,FACE EVEN-SKIN,FACE EVEN-SKIN,OTROS LAB,NOREVA,NOREVA SENSIDIANE CRA PALPEBRAL A/RASPADO 20ML,,MEXICO,,,
6325819,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NOREVA SENSIDIANE EMULSION FAC AR INTENSIVA CUIDAD,,MEXICO,,,
6325820,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOREVA NOVEANE CRA DE NOCHE 30ML,,MEXICO,,,
6325822,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NOREVA EXFOLIAC GEL LIMP ESPUMOSO INTENSIVO 200M,,MEXICO,,,
6325830,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOREVA NOVEANE CRA OJOS Y LABIOS 10ML,,MEXICO,,,
6325840,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOREVA NOVEANE SUERO INTENSIVO 30ML,,MEXICO,,,
6325850,FACE,ANTI-AGE,ANTI-AGE,OTROS LAB,RESTO,NOREVA NOVEANE 3D CRA OJOS Y LABIOS 15ML,,MEXICO,,,
6325860,SUN,SUN FACE,SUN FACE TINTED,OTROS LAB,RESTO,NOREVA NORESUN CRA SOLAR CON COLOR 40ML,Sensitive Skin/ basic sun protection,MEXICO,,,
6325861,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NOREVA NORESUN FLUIDO F50 40ML,Sensitive Skin/ basic sun protection,MEXICO,,,
6325862,SUN,SUN BODY,SUN BODY,OTROS LAB,RESTO,NOREVA NORESUN SPRAY F50 125ML,,MEXICO,,,
6325864,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC GEL DESINCRUSTANTE 50ML,,MEXICO,,,
6325866,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC CRA COLOR CLARO 30ML,,MEXICO,,,
6325867,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC CRA ACNOMEGA 200 30ML,,MEXICO,,,
6325868,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NOREVA EXFOLIAC GEL LIMP ESPUMOSO 200ML,,MEXICO,,,
6325872,BODY,BODY CLEANS,SENSITIVE SKIN CLEANS,OTROS LAB,RESTO,NOREVA AQUAREVA JBN BARRA 100GR,,MEXICO,,,
6325874,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC SUERO GLOBAL 6 A/IMPERF 30ML,,MEXICO,,,
6325875,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NOREVA SENSIDIANE CRA AR A/ROUGEURS 30ML,,MEXICO,,,
6325879,SUN,SUN FACE,SUN FACE NON TINTED,OTROS LAB,RESTO,NOREVA EXFOLIAC FLUIDO SOLAR MATIF F50 40ML,Sensitive Skin/ basic sun protection,MEXICO,,,
6325883,SUN,SUN BODY,SUN BODY,OTROS LAB,RESTO,NOREVA SEDESUN FLUIDO SOLAR RESIST AL AGUA F40,,MEXICO,,,
6325888,FACE,SENSITIVE SKIN,SENSITIVE SKIN,OTROS LAB,RESTO,NOREVA AQUAREVA CRA HIDRAT CONT/OJOS 15ML,,MEXICO,,,
6325891,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC CRA BB COLOR CLARO 30ML,,MEXICO,,,
6325892,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA EXFOLIAC CRA BB COLOR DORADO 30ML,,MEXICO,,,
6325893,FACE,ACNE,ACNE CLEANS,OTROS LAB,RESTO,NOREVA SEDEPUR LOC DERMO-PURIFICANTE 150ML,,MEXICO,,,
6325894,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA SEDEPUR CRA A/IMPERF MATIF CLARO F20 30M,,MEXICO,,,
6325895,FACE,ACNE,ACNE TREATMENT,OTROS LAB,RESTO,NOREVA SEDEPUR CRA A/IMPERF MATIF DORADO F20 30,,MEXICO,,,
6390310,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC CRA EMOLIENTE 200ML,,MEXICO,,,
6390313,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC CRA PRO AMP FAC 50 ML,,MEXICO,,,
6390315,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,ISDIN,ISDIN,NUTRATOPIC GEL LIMPIADOR 200ML,,MEXICO,,,
6390320,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC RX CREMA 100 ML,,MEXICO,,,
6390321,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC PRO AMPCRA EMOLIENTE PIEL ATOPICA 200ML,,MEXICO,,,
6390322,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC PRO-AMPLOC EMOLIENTE 400ML,,MEXICO,,,
6390323,BODY,BODY CLEANS,ATOPIC SKIN CLEANS,ISDIN,ISDIN,NUTRATOPIC PRO-AMPGEL EMOLIENTE DE BANO 750ML,,MEXICO,,,
6390324,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC PRO AMPCRA EMOLIENTE PIEL ATOPICA 40ML,,MEXICO,,,
6390325,BODY,BODY TREATMENT,ATOPIC SKIN TREATMENT,ISDIN,ISDIN,NUTRATOPIC PRO-AMPLOC EMOLIENTE 400ML,,MEXICO,,,
